cluster,name,category,rating,review_count,latitude,longitude,address
0.0,Eggspectation - Bay Street,Breakfast & Brunch,4.1,837,43.653717,-79.382287,"['483 Bay Street', 'South Tower', 'Toronto, ON M5G 2C9', 'Canada']"
0.0,JOEY Eaton Centre,Canadian (New),3.7,586,43.6558708964233,-79.382009190213,"['1 Dundas St W,', 'Toronto', 'Toronto, ON M5G 1Z3', 'Canada']"
0.0,A&W,Burgers,4.7,6,43.65467196,-79.37620314,"['167 Church Street', 'Unit 3', 'Toronto, ON M5B 1Y6', 'Canada']"
0.0,Beerbistro,Bistros,3.9,703,43.649628,-79.377165,"['18 King Street E', 'Toronto, ON M5C 1C4', 'Canada']"
0.0,Lucie,French,4.4,21,43.64977,-79.37847,"['100 Yonge Street', 'Toronto, ON M5C 2W1', 'Canada']"
0.0,The Queen And Beaver Public House,Pubs,3.8,443,43.65734,-79.38334,"['35 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']"
0.0,Florin Trattoria,Italian,5.0,1,43.65123,-79.38212,"['80 Richmond Street W', 'Toronto, ON M5H 2A3', 'Canada']"
0.0,The Carlton Restaurant,Canadian (New),4.4,7,43.6617125,-79.3811043,"['Holiday Inn', '30 Carlton Street', 'Toronto, ON M5B 2E9', 'Canada']"
0.0,GB Hand-pulled Noodles,Chinese,4.1,602,43.65669,-79.38385,"['66 Edward Street', 'Toronto, ON M5G 1C9', 'Canada']"
0.0,Gurume Sushi,Sushi Bars,4.8,88,43.6613914599157,-79.38099526635763,"['45 Carlton Street', 'unit 5', 'Toronto, ON M5B 2H9', 'Canada']"
1.0,The Hole In the Wall,Pubs,4.3,190,43.66518,-79.46515,"['2867 Dundas Street W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,Dao’s Cafe,Laotian,5.0,1,43.67015990458179,-79.45608546441828,"['1927 Davenport Road', 'Toronto, ON M6N 1C3', 'Canada']"
1.0,Luna Junction,Portuguese,4.7,54,43.6656,-79.46276,"['2800 Dundas St W', 'Toronto, ON M6P 1Y5', 'Canada']"
1.0,Honest Weight,Seafood,4.4,142,43.6653335939817,-79.4614855543404,"['2766 Dundas Street W', 'Toronto, ON M6P 1Y3', 'Canada']"
1.0,Churrasqueira Vira's BBQ,Portuguese,3.7,7,43.6702099759196,-79.456898868084,"['1969 Davenport Road', 'Toronto, ON M6N 1C3', 'Canada']"
1.0,Nodo - Junction,Italian,4.1,219,43.665251,-79.465596,"['2885 Dundas Street West', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,When The Pig Came Home,Delicatessen,4.6,83,43.6657595,-79.4648277,"['384 Keele Street', 'Toronto, ON M6P 2K8', 'Canada']"
1.0,Koji Japanese Restaurant,Sushi Bars,4.5,43,43.6653247110788,-79.4528076801096,"['1553 Dupont Street', 'Toronto, ON M6P 3S5', 'Canada']"
1.0,Decó,Wine Bars,4.5,19,43.6655233977892,-79.4639609081577,"['2840 Dundas Street W', 'Toronto, ON M6P 1Y7', 'Canada']"
1.0,Gula mexican food,Mexican,0.0,0,43.6701163,-79.4560321,"['1927 Davenport Rd', 'Toronto, ON M6N 1C3', 'Canada']"
1.0,Kings Delight,Caribbean,3.4,5,43.67392,-79.46013,"['1745 Saint Clair Avenue W', 'Toronto, ON M6N 1J4', 'Canada']"
1.0,Diner Seoul,Korean,5.0,7,43.67609695770633,-79.45073213428259,"['1351 St Clair Avenue W', 'Toronto, ON M6E 1C5', 'Canada']"
1.0,Mattachioni,Italian,4.1,51,43.6648758891217,-79.4549725527003,"['1617 Dupont Street', 'Toronto, ON M6P 3S8', 'Canada']"
1.0,The Bull BBQ Pit,Barbeque,5.0,1,43.66557555163064,-79.46249733889941,"['2790 Dundas Street W', 'Toronto, ON M6P 2J4', 'Canada']"
1.0,Botham's,Wine Bars,4.1,8,43.66531581311369,-79.46525264110463,"['2869 Dundas St W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,Gus Tacos,Mexican,4.4,17,43.66566,-79.45264,"['1546 Dupont Street', 'Toronto, ON M6P 3S6', 'Canada']"
1.0,Burger Land,Burgers,5.0,1,43.676041,-79.450698,"['1351 St Clair Avenue W', 'Toronto, ON M6E 1C5', 'Canada']"
1.0,Piri Piri Grill,Portuguese,3.6,59,43.6662515314375,-79.4497762620449,"['1444 Dupont Street', 'Toronto, ON M6P 4H3', 'Canada']"
1.0,Colombian Street Food,Colombian,4.8,4,43.66532722529222,-79.45313431842331,"['1565 Dupont Street', 'Toronto, ON M6P 3S5', 'Canada']"
1.0,The Alpine,Canadian (New),4.0,42,43.66562,-79.4652,"['2872 Dundas Street W', 'Toronto, ON M6P 1Y8', 'Canada']"
1.0,Alma + Gil,Sandwiches,4.4,5,43.66526,-79.45242,"['1543 Dupont Street', 'Toronto, ON M6P 3S5', 'Canada']"
1.0,Playa Cabana Cantina,Mexican,3.3,325,43.66522,-79.46552,"['2883 Dundas Street W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,Huong Viet,Vietnamese,4.4,16,43.6743,-79.4606699,"['1750 Saint Clair Avenue W', 'Toronto, ON M6N 1J3', 'Canada']"
1.0,Love Chix,Chicken Shop,3.8,49,43.6696641,-79.4486514,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']"
1.0,Century Park Tavern,Breakfast & Brunch,2.8,4,43.6696641,-79.44877238227583,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']"
1.0,El Rancherito,Colombian,3.4,21,43.6748467,-79.4578909,"['1662 Street Clair Avenue W', 'Toronto, ON M6N 1H8', 'Canada']"
1.0,Sabor Carioca,Brazilian,5.0,1,43.67464,-79.45927,"['1702 St Clair Ave W', 'Toronto, ON M6N 1J1', 'Canada']"
1.0,Boo Radley's Junction Bar and Grill,Bars,3.3,52,43.66614,-79.45028,"['1482 Dupont Street', 'Toronto, ON M6P', 'Canada']"
1.0,Samba Brazil Eatery,Brazilian,4.1,8,43.67498,-79.45728,"['1646 St Clair Avenue W', 'Toronto, ON M6N 1H8', 'Canada']"
1.0,Hakka Heaven,Hakka,0.0,0,43.66520912835489,-79.46507893502712,"['2865 Dundas Street W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,The Draft Room,Pubs,0.0,0,43.666014,-79.464516,"['395 Keele Street', 'Toronto, ON M6P 2K9', 'Canada']"
1.0,Taste Seduction,Caribbean,4.5,45,43.66612,-79.46444,"['399 Keele Street', 'Toronto, ON M6P 2K9', 'Canada']"
1.0,Banh Cuon To Thanh,Vietnamese,4.4,10,43.67416,-79.46132,"['1772 St Clair Avenue W', 'Toronto, ON M6N 1J3', 'Canada']"
1.0,Don Quixote,Portuguese,3.9,7,43.6763235,-79.4494733,"['1331 1/2 St. Clair Avenue W', 'Toronto, ON M6E 1C3', 'Canada']"
1.0,Chica's Nashville Hot Chicken,Chicken Shop,4.4,135,43.66518,-79.46423,"['2853 Dundas Street W', 'Toronto, ON M6P 2K6', 'Canada']"
1.0,Pi Co,Pizza,4.5,2,43.66552386645466,-79.46494395598525,"['2862 Dundas Street W', 'Toronto, ON M6P 1Y8', 'Canada']"
1.0,kapital restaurant & Grill,Portuguese,5.0,1,43.67564,-79.45517,"['1500 St Clair Ave W', 'Toronto, ON M6E 1C8', 'Canada']"
1.0,Griot's Table,Caterers,0.0,0,43.67454,-79.45469,"['112 Caledonia Park Road', 'Toronto, ON M6H 0B2', 'Canada']"
1.0,Indie Ale House,Breweries,4.0,272,43.6654413783034,-79.4652382135862,"['2876 Dundas Street W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,Sausage Party,Pop-Up Restaurants,0.0,0,43.67478341648802,-79.45813886277246,"['1672 St Clair Avenue W', 'Aunty Ems Deli & Coffee', 'Toronto, ON M6N 1H8', 'Canada']"
1.0,Dairy Freeze,Burgers,3.0,83,43.6751174,-79.4548844,"['1601 St Clair Avenue W', 'Toronto, ON M6E 1C9', 'Canada']"
1.0,Gram’s Pizza,Pizza,4.4,14,43.66496279646723,-79.45568814507881,"['1640 Dupont Street', 'Unit 3', 'Toronto, ON M6R 1B3', 'Canada']"
1.0,Rois Cream,Cafes,4.9,15,43.665860402408,-79.46485751808741,"['382 Keele Street', 'Toronto, ON M6P 2K8', 'Canada']"
1.0,Momo Mojo,Himalayan/Nepalese,0.0,0,43.665256978415314,-79.4614958,"['2772 Dundas Street W', 'Toronto, ON M6P 1Y3', 'Canada']"
1.0,Pho Xua,Thai,3.6,46,43.6741568799204,-79.4612735346423,"['1768 Street Clair Avenue W', 'Toronto, ON M6N 1J3', 'Canada']"
1.0,Wing Saints,Chicken Wings,0.0,0,43.6743070809708,-79.4607225,"['1750 St Clair Avenue W', 'Toronto, ON M6N 1J3', 'Canada']"
1.0,Cheffry Bistro - Powerhouse,Bistros,0.0,0,43.669652156133914,-79.44873496196664,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']"
1.0,La Rev,Mexican,3.7,66,43.66554301434862,-79.4642799,"['2848 Dundas Street W', 'Toronto, ON M6P 1Y6', 'Canada']"
1.0,Sabores Tradicionais,Portuguese,0.0,0,43.6745264321364,-79.4582173114951,"['1682 St Clair Avenue W', 'Toronto, ON M6N 1H8', 'Canada']"
1.0,BSTO.,Comfort Food,5.0,1,43.67694860212495,-79.44850028895492,"['1310 Saint Clair Avenue W', 'Toronto, ON M6E 1C1', 'Canada']"
2.0,Kebabs and More,Indian,5.0,1,43.758892780706475,-79.1983676,"['4172 Kingston Road', 'Toronto, ON M1E 2M4', 'Canada']"
2.0,Kajun Chicken & Seafood,Seafood,4.5,2,43.764726,-79.191615,"['4351 Kingston Road', 'Scarborough, ON M1E 2M9', 'Canada']"
2.0,Kebabs & More,Indian,5.0,1,43.758905115539854,-79.1983676,"['4172 Kingston Road', 'Toronto, ON M1E 2M4', 'Canada']"
2.0,Twice As Nice,Caribbean,3.6,50,43.75883634982993,-79.19809721637496,"['4180 Kingston Road', 'Scarborough, ON M1E 2M4', 'Canada']"
2.0,Tai Chi,Chinese,3.0,5,43.7596038,-79.19819729999999,"['4190 Kingston Road', 'Suite 8', 'Scarborough , ON M1E 4W1', 'Canada']"
2.0,Sunny Sportsbar & Grill,Sports Bars,5.0,1,43.75962,-79.19795,"['4190 Kingston Road', 'Scarborough, ON M1E 4W1', 'Canada']"
2.0,Paradise Shawarma Scarborough,Mediterranean,3.6,11,43.76614,-79.19163,"['4352 Kingston Rd', 'Unit 5', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Hakka Rise and Momo Hub,Hakka,4.5,2,43.76332566225109,-79.194137026687,"['4286 Kingston Road', 'Suite 5', 'Scarborough, ON M1E 2M8', 'Canada']"
2.0,Your Cyber Chef,African,5.0,1,43.7596165371704,-79.19819729999999,"['4190 Kingston Road', 'Unit 6', 'Toronto, ON M1E 2M6', 'Canada']"
2.0,Rowdy's Indian and Hakka,Indian,4.2,5,43.766323,-79.19157659999999,"['4352 Kingston Road', 'Unit 9', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Trini Bites Hot Roti & Doubles,Pop-Up Restaurants,1.3,4,43.763311,-79.194163,"['4286 Kingston Road', 'Unit 8', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Chester Fried Chicken,Chicken Wings,1.0,2,43.75962,-79.19795,"['4190 Kingston Road', 'Scarborough, ON M1E 4W1', 'Canada']"
2.0,Wings Knight,Sports Bars,0.0,0,43.765181,-79.191077,"['4379 Kingston Road', 'Unit 4', 'Scarborough, ON M1E 2M9', 'Canada']"
2.0,Mehfill Shawarma and Kathi Roll,Mediterranean,0.0,0,43.76342422008841,-79.19419909999999,"['4286 Kingston Road', 'Unit 1', 'Toronto, ON M1E 2M8', 'Canada']"
2.0,Sail Sushi,Salad,2.6,43,43.765923111045794,-79.19166981777997,"['4352 Kingston Road', 'Suite 9', 'Scarborough, ON M1E 2M8', 'Canada']"
2.0,Christine K Kitchen,Bakeries,4.0,1,43.7634779,-79.19387139999999,"['4288 Kingston Road', 'Unit 8', 'Scarborough, ON M1E 2M8', 'Canada']"
